COUNTRY,Universal_Govt_Funded,Universal_Public_Insurance,Universal_Public_Private_Ins,Non_Universal,Central_South_America,DEATHS_PER_1M_23JUN2022,CONFIRMED_TOTAL_23JUN2022,CONFIRMED_CFR_23JUN2022,TESTS_TOTAL_23JUN2022,TESTS_PER_1M_23JUN2022,CONFIRMED_PER_1M_23JUN2022,DEATHS_TOTAL_23JUN2022,legatumRank2020_PROSPERITY,legatumRank2019_PROSPERITY,pop2022,ceoworldRank_HEALTHCARE_SYSTEM,Fragility_Index,Weak Security Apparatus,Factionalized Elites,Group Grievance,Economy Fragility,Economic Inequality,Human Flight and Brain Drain,Fragile State Legitimacy,Fragile Public Services,Fragile Human Rights,Demographic Pressures,Refugees and IDPs,External Intervention,LN_DEATHS_PER_1M_23JUN2022,LN_CONFIRMED_PER_1M_23JUN2022,Quality_Healthcare_System,LN_POP,stringency_index_mean,population_mean,population_density_mean,median_age_mean,aged_65_older_mean,aged_70_older_mean,gdp_per_capita_mean,total_vaccinations_per_hundred_max,people_vaccinated_per_hundred_max,people_fully_vaccinated_per_hundred_max,LN_POP_DENSITY,LN_GDP_PC,LN_TOTAL_VAX_P100,LN_PEOPLE_VAX_P100,LN_FULLY_VAX_P100,LN_FRAGILITY_INDEX,LN_QUAL_HC_INDEX,LN_STRINGENCY_INDEX,LN_TESTS_PER_1M_23JUN2022,INT_Quality_HC_BY_LN_POP,INT_Quality_HC_BY_TOTAL_VAX,INT_Quality_HC_BY_AGED_70LUS,LN_AGED65,LN_AGED70
Albania,0,1,0,0,0,1220,278211,1.26%,1841267,642368,97060,3497,67,64,2866.37,74,59,4.8,6.2,4.1,6.4,2.9,8.3,5.5,4.4,3.6,4.1,2.6,6.1,7.106606138,11.48308462,16,7.9608017,53.86,2872934,104.87,38,13.19,8.64,11803.43,100.35,46.05,43.31,4.652721488,9.376145446,4.608664075,3.829727763,3.768383555,4.077537444,2.772588722,3.99,13.373,127.37,73.74,138.24,2.58,2.16
Algeria,0,0,1,0,0,163,266015,2.58%,230861,5467,6299,6875,108,108,45350.15,68,73.6,6,7.5,7.2,6.8,5.6,5.5,7.8,5.6,6.3,4.8,6.8,3.7,5.093750201,8.74814617,22,10.72216876,62.56,44616626,17.35,29.1,6.21,3.86,13913.84,34.08,18.4,15.36,2.853592506,9.540639307,3.528710702,2.912350665,2.731766728,4.298645026,3.091042453,4.14,8.606,235.89,77.63,84.92,1.83,1.35
Argentina,0,0,1,0,1,2900,9341492,1.38%,35716069,802707,209947,129016,63,56,46010.23,27,50.1,4.9,2.8,3.8,7.1,4.9,3,4,4.8,3.3,5.3,1.9,4.3,7.972466016,12.2546104,63,10.73661904,65.93,45605823,16.18,31.9,11.2,7.44,18933.91,230.71,90.22,82.33,2.783775912,9.848709773,5.441161511,4.502251132,4.410735561,3.914021008,4.143134726,4.19,13.596,676.41,342.79,468.72,2.42,2.01
Australia,1,0,0,0,0,382,7919777,0.12%,73434734,2938286,316888,9558,16,17,26068.79,6,21.8,2.7,1.7,3.1,1.6,1.8,0.5,0.5,2.8,1.7,2.9,2,0.5,5.945420609,12.66630368,84,10.16849409,57.63,25788217,3.2,37.9,15.5,10.13,44648.71,224.35,86.65,83.98,1.16315081,10.70658069,5.413207332,4.461877016,4.430578675,3.08190997,4.430816799,4.05,14.893,854.15,454.71,850.92,2.74,2.32
Austria,0,0,1,0,0,2119,4361919,0.43%,189791719,21452574,493037,18749,10,12,9066.71,4,26.1,1.6,3.2,3.9,1.8,2.3,1.6,0.6,2.3,0.5,3.4,4.4,0.5,7.658699558,13.1083395,86,9.112364743,59.31,9043072,106.75,44.4,19.2,13.75,45436.69,203.45,75.53,73.24,4.670489652,10.72407521,5.315420274,4.324529928,4.29374172,3.261935314,4.454347296,4.08,16.881,783.66,457.13,1182.5,2.95,2.62
Azerbaijan,0,0,0,0,0,977,793089,1.23%,6947820,698812,79769,9716,78,91,10300.21,86,75.1,6.4,7.9,6.1,4.7,5.1,4.3,9.1,5.5,7.7,4.2,6.9,7.2,6.884486652,11.28689024,4,9.239919562,72.5,10223344,119.31,32.4,6.02,3.87,15847.42,134.57,52.36,47.47,4.781725148,9.67076199,4.90208451,3.958142941,3.860097933,4.318820559,1.386294361,4.28,13.457,36.96,19.61,15.48,1.8,1.35
Bangladesh,0,0,0,1,0,181,1960528,1.49%,14259006,88370,12150,29135,125,123,167885.69,85,85,7,9.3,8.6,5.5,5.7,7,7.4,7.7,7.2,7.1,7.3,5.2,5.198497031,9.405084449,5,12.03103861,67.24,166303494,1265.04,27.5,5.1,3.26,3523.98,166.04,77.74,71.46,7.142859021,8.167346312,5.112228723,4.353369925,4.269137853,4.442651256,1.609437912,4.21,11.389,60.16,25.56,16.3,1.63,1.18
Belarus,0,0,0,0,0,736,982867,0.71%,13220483,1393774,103619,6978,69,70,9432.8,57,68,5.6,8.8,5.9,5.1,3.7,4.1,9,3.3,7.9,5.1,2.4,7.1,6.601230119,11.54847599,33,9.151948256,29.99,9442867,46.86,40.3,14.8,9.79,17167.97,138.79,67.81,66.42,3.847164433,9.750800717,4.932961999,4.216709677,4.195998216,4.219507705,3.496507561,3.4,14.148,302.01,162.79,323.07,2.69,2.28
Belgium,0,1,0,0,0,2790,4197345,0.76%,34315785,3004341,367477,31868,23,23,11668.28,9,31,2.6,4.4,4.1,4.6,2.1,2.5,0.8,2.5,0.6,4,2.3,0.5,7.933796875,12.81441601,81,9.364629328,50.4,11632334,375.56,41.8,18.57,12.85,42658.58,220.18,79.49,78.66,5.928418245,10.66098371,5.394445394,4.375631228,4.365134767,3.433987204,4.394449155,3.92,14.916,758.53,436.95,1040.85,2.92,2.55
Brazil,1,0,0,0,1,3198,31963736,2.10%,63776166,304465,152594,669958,70,69,215353.59,63,75.8,6.8,6.5,7.7,6.4,7,3.9,7,7.4,7.4,8.8,3.3,3.6,8.070280893,11.93553608,27,12.28003656,63.94,213993441,25.04,33.5,8.55,5.06,14103.45,210.88,86.24,78.76,3.220474546,9.554174727,5.351289251,4.457134107,4.366405254,4.328098293,3.295836866,4.16,12.626,331.56,144.48,136.62,2.15,1.62
